Message,Prediction
this girl does not stay in bed. this girl doesn't need recovery time. id rather pass out while having fun then be cooped up in bed,Not Spam
hello my little party animal! i just thought i'd buzz you as you were with your friends ...*grins*... reminding you were loved and send a naughty adoring kiss,Not Spam
oops i thk i dun haf enuff... i go check then tell ì_..,Not Spam
horrible bf... i now v hungry...,Not Spam
hi there. we have now moved in2 our pub . would be great 2 c u if u cud come up.,Not Spam
"sorry, i'll call later",Not Spam
no i am not having not any movies in my laptop,Not Spam
wot about on wed nite i am 3 then but only til 9!,Not Spam
sac will score big hundred.he is set batsman:-),Not Spam
"motivate behind every darkness, there is a shining light waiting for you to find it... behind every best friend, there is always trust and love... bslvyl",Not Spam
but i'm surprised she still can guess right lor...,Not Spam
who's there say hi to our drugdealer,Not Spam
oh oh... wasted... den muz chiong on sat n sun liao...,Not Spam
"waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,zindgi wo nahi he jo hum sochte hai zindgi wo hai jo ham jeetey hai..........",Not Spam
lol i know! hey someone did a great inpersonation of flea on the forums. i love it!,Not Spam
"u can win å£100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.ldew.com skillgame,1winaweek, age16.150ppermesssubscription",Spam
i am not having her number sir,Not Spam
"double mins & 1000 txts on orange tariffs. latest motorola, sonyericsson & nokia with bluetooth free! call mobileupd8 on 08000839402 or call2optout/hf8",Spam
how are u? i have missed u! i havent been up 2 much a bit bored with the holiday want 2 go bak 2 college! sad isnt it?xx,Not Spam
"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",Not Spam
can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Not Spam
he fucking chickened out. he messaged me he would be late and woould buzz me and then i didn't hear a word from him,Not Spam
okay same with me. well thanks for the clarification,Not Spam
lol ok ill try to send. be warned sprint is dead slow. you'll prolly get it tomorrow,Not Spam
it is a good thing i'm now getting the connection to bw,Not Spam
"no dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",Not Spam
s but not able to sleep.,Not Spam
"wat time liao, where still got.",Not Spam
they released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,Not Spam
no:-)i got rumour that you going to buy apartment in chennai:-),Not Spam
normally i use to drink more water daily:),Not Spam
yup next stop.,Not Spam
k ill drink.pa then what doing. i need srs model pls send it to my mail id pa.,Not Spam
kent vale lor... ìï wait 4 me there ar?,Not Spam
you have won! as a valued vodafone customer our computer has picked you to win a å£150 prize. to collect is easy. just call 09061743386,Spam
anything...,Not Spam
i thk 530 lor. but dunno can get tickets a not. wat u doing now?,Not Spam
"how about clothes, jewelry, and trips?",Not Spam
oic cos me n my sis got no lunch today my dad went out... so dunno whether 2 eat in sch or wat...,Not Spam
just getting back home,Not Spam
great escape. i fancy the bridge but needs her lager. see you tomo ,Not Spam
ìï dun need to pick ur gf?,Not Spam
private! your 2003 account statement for 07815296484 shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code 41782 expires 18/11/04 ,Spam
well. balls. time to make calls,Not Spam
in sch but neva mind u eat 1st lor..,Not Spam
what happen dear tell me,Not Spam
ok,Not Spam
loans for any purpose even if you have bad credit! tenants welcome. call noworriesloans.com on 08717111821,Not Spam
"oh ! a half hour is much longer in syria than canada, eh ? wow you must get so much more work done in a day than us with all that extra time ! *grins*",Not Spam
we tried to contact you re our offer of new video phone 750 anytime any network mins half price rental camcorder call 08000930705 or reply for delivery wed,Spam
dai i downloaded but there is only exe file which i can only run that exe after installing.,Not Spam
"sorry, i'll call later",Not Spam
"fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",Not Spam
but i dint slept in afternoon.,Not Spam
i think if he rule tamilnadu..then its very tough for our people.,Not Spam
you are right though. i can't give you the space you want and need. this is really starting to become an issue. i was going to suggest setting a definite move out--if i'm still there-- after greece. but maybe you are ready and should do it now.,Not Spam
"you know, wot people wear. t shirts, jumpers, hat, belt, is all we know. we r at cribbs",Not Spam
aathi..where are you dear..,Not Spam
hey what are you doing. y no reply pa..,Not Spam
well its not like you actually called someone a punto. that woulda been worse.,Not Spam
"alright, i'll head out in a few minutes, text me where to meet you",Not Spam
send me the new number,Not Spam
take us out shopping and mark will distract isaiah.=d,Not Spam
urgent! please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. t &cs sae po box 177 m227xy. 16+,Spam
"mmmmm ... i loved waking to your words this morning ! i miss you too, my love. i hope your day goes well and you are happy. i wait for us to be together again",Not Spam
just wanted to say holy shit you guys weren't kidding about this bud,Not Spam
jus finish blowing my hair. u finish dinner already?,Not Spam
tell your friends what you plan to do on valentines day @ &lt;url&gt;,Not Spam
i cant keep talking to people if am not sure i can pay them if they agree to price. so pls tell me what you want to really buy and how much you are willing to pay,Not Spam
well then you have a great weekend!,Not Spam
neft transaction with reference number  &lt;#&gt;  for rs. &lt;decimal&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;time&gt; : &lt;#&gt;,Not Spam
aiyar dun disturb u liao... thk u have lots 2 do aft ur cupboard come...,Not Spam
why did i wake up on my own &gt;:(,Not Spam
"tddnewsletter@emc1.co.uk (more games from thedailydraw) dear helen, dozens of free games - with great prizeswith..",Spam
"after my work ah... den 6 plus lor... u workin oso rite... den go orchard lor, no other place to go liao...",Not Spam
how come guoyang go n tell her? then u told her?,Not Spam
18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,Spam
ringtoneking 84484,Not Spam
ok. i.ll do you right later.,Not Spam
first answer my question.,Not Spam
"yup, no need. i'll jus wait 4 e rain 2 stop.",Not Spam
pls speak with me. i wont ask anything other then you friendship.,Not Spam
"sorry, i'll call later",Not Spam
"true. it is passable. and if you get a high score and apply for phd, you get 5years of salary. so it makes life easier.",Not Spam
aiyah e rain like quite big leh. if drizzling i can at least run home.,Not Spam
you should get more chicken broth if you want ramen unless there's some i don't know about,Not Spam
8007 free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www.getzed.co.uk pobox 36504 w4 5wq norm 150p/tone 16+,Spam
hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl,Not Spam
and i don't plan on staying the night but i prolly won't be back til late,Not Spam
now only i reached home. . . i am very tired now. . i will come tomorro,Not Spam
all day working day:)except saturday and sunday..,Not Spam
ìï wait 4 me in sch i finish ard 5..,Not Spam
"congrats 2 mobile 3g videophones r yours. call 09063458130 now! videochat wid ur mates, play java games, dload polyph music, noline rentl. bx420. ip4. 5we. 150p",Spam
"thank you so much. when we skyped wit kz and sura, we didnt get the pleasure of your company. hope you are good. we've given you ultimatum oh! we are countin down to aburo. enjoy!",Not Spam
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094594,Not Spam
sending you greetings of joy and happiness. do have a gr8 evening,Not Spam
for many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,Not Spam
i am thinking of going down to reg for pract lessons.. flung my advance.. haha wat time u going?,Not Spam
pls speak to that customer machan.,Not Spam
but you dint in touch with me.,Not Spam
are you up for the challenge? i know i am :),Not Spam
oh my god. i'm almost home,Not Spam
good morning. at the repair shop--the only reason i'm up at this hour.,Not Spam
"hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Not Spam
and how's your husband.,Not Spam
dear are you angry i was busy dear,Not Spam
"its so common hearin how r u? wat r u doing? how was ur day? so let me ask u something different. did u smile today? if not, do it now.... gud evng.",Not Spam
wat r u doing?,Not Spam
how come she can get it? should b quite diff to guess rite...,Not Spam
"wishing you and your family merry \x\"" mas and happy new year in advance..""",Not Spam
ok i vl..do u know i got adsense approved..,Not Spam
siva is in hostel aha:-.,Not Spam
we still on for tonight?,Not Spam
do you want a new video handset? 750 any time any network mins? unlimited text? camcorder? reply or call now 08000930705 for del sat am,Not Spam
just curious because my cuz asked what i was up to,Not Spam
"loan for any purpose å£500 - å£75,000. homeowners + tenants welcome. have you been previously refused? we can still help. call free 0800 1956669 or text back 'help'",Spam
"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.",Not Spam
i'm good. have you registered to vote?,Not Spam
designation is software developer and may be she get chennai:),Not Spam
din i tell u jus now 420,Not Spam
"urgh, coach hot, smells of chip fat! thanks again, especially for the duvet (not a predictive text word).",Not Spam
tell dear what happen to you. why you talking to me like an alian,Not Spam
get me out of this dump heap. my mom decided to come to lowes. boring.,Not Spam
my new years eve was ok. i went to a party with my boyfriend. who is this si then hey,Not Spam
you have an important customer service announcement from premier.,Spam
it's ok i noe u're busy but i'm really too bored so i msg u. i oso dunno wat colour she choose 4 me one.,Not Spam
what's a feathery bowa? is that something guys have that i don't know about?,Not Spam
rt-king pro video club>> need help? info@ringtoneking.co.uk or call 08701237397 you must be 16+ club credits redeemable at www.ringtoneking.co.uk! enjoy!,Spam
k da:)how many page you want?,Not Spam
so how's scotland. hope you are not over showing your jjc tendencies. take care. live the dream,Not Spam
you have won a guaranteed å£1000 cash or a å£2000 prize.to claim yr prize call our customer service representative on,Spam
all done? all handed in? celebrations in full swing yet?,Not Spam
i only haf msn. it's yijue@hotmail.com,Not Spam
dude just saw a parked car with its sunroof popped up. sux,Not Spam
"helloooo... wake up..! \sweet\"" \""morning\"" \""welcomes\"" \""you\"" \""enjoy\"" \""this day\"" \""with full of joy\"".. \""gud mrng\"".""",Not Spam
cuz ibored. and don wanna study,Not Spam
hey! there's veggie pizza... :/,Not Spam
"can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",Not Spam
\hey j! r u feeling any better,Not Spam
ok then no need to tell me anything i am going to sleep good night,Not Spam
"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!",Not Spam
let me know how it changes in the next 6hrs. it can even be appendix but you are out of that age range. however its not impossible. so just chill and let me know in 6hrs,Not Spam
is avatar supposed to have subtoitles,Not Spam
how much is torch in 9ja.,Not Spam
ok . . now i am in bus. . if i come soon i will come otherwise tomorrow,Not Spam
7 lor... change 2 suntec... wat time u coming?,Not Spam
message from . i am at truro hospital on ext. you can phone me here. as i have a phone by my side,Not Spam
congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts&cs www.smsco.net å£1.50pm approx 3mins,Spam
u are subscribed to the best mobile content service in the uk for å£3 per 10 days until you send stop to 82324. helpline 08706091795,Spam
"urgent! call 09066612661 from landline. your complementary 4* tenerife holiday or å£10,000 cash await collection sae t&cs po box 3 wa14 2px 150ppm 18+ sender: hol offer",Spam
there are no other charges after transfer charges and you can withdraw anyhow you like,Not Spam
here is my new address -apples&pairs&all that malarky,Not Spam
no problem. how are you doing?,Not Spam
i'm vivek:)i got call from your number.,Not Spam
aight ill get on fb in a couple minutes,Not Spam
"k, wait chikku..il send aftr  &lt;#&gt; mins",Not Spam
sunshine quiz wkly q! win a top sony dvd player if u know which country liverpool played in mid week? txt ansr to 82277. å£1.50 sp:tyrone,Spam
also tell him i said happy birthday,Not Spam
"i'm in a meeting, call me later at",Not Spam
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. not cool at all. please do not contact me again or i will report you to your supervisor.,Not Spam
hope you are having a good week. just checking in,Not Spam
"derp. which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",Not Spam
"well, i was about to give up cos they all said no they didnû÷t do one nighters. i persevered and found one but it is very cheap so i apologise in advance. it is just somewhere to sleep isnt it?",Not Spam
hows the champ just leaving glasgow!,Not Spam
that's necessarily respectful,Not Spam
dude how do you like the buff wind.,Not Spam
yeah that's the impression i got,Not Spam
i think steyn surely get one wicket:),Not Spam
havent mus ask if u can 1st wat. of meet 4 lunch den u n him meet can already lor. or u wan 2 go ask da ge 1st then confirm w me asap?,Not Spam
when you are big..| god will bring success.,Not Spam
and of course you should make a stink!,Not Spam
total video converter free download type this in google search:),Not Spam
me too. mark is taking forever to pick up my prescription and the pain is coming back.,Not Spam
hey! congrats 2u2. id luv 2 but ive had 2 go home!,Not Spam
"i've not called you in a while. this is hoping it was l8r malaria and that you know that we miss you guys. i miss bani big, so pls give her my love especially. have a great day.",Not Spam
we confirm eating at esplanade?,Not Spam
my phone,Not Spam
tone club: your subs has now expired 2 re-sub reply monoc 4 monos or polyc 4 polys 1 weekly @ 150p per week txt stop 2 stop this msg free stream 0871212025016,Spam
tomarrow final hearing on my laptop case so i cant.,Not Spam
can a not?,Not Spam
how have your little darlings been so far this week? need a coffee run tomo?can't believe it's that time of week already û_,Not Spam
cab is available.they pick up and drop at door steps.,Not Spam
do we have any spare power supplies,Not Spam
water logging in desert. geoenvironmental implications.,Not Spam
i want to be inside you every night...,Not Spam
argh why the fuck is nobody in town ;_;,Not Spam
hope you are feeling great. pls fill me in. abiola,Not Spam
he didn't see his shadow. we get an early spring yay,Not Spam
oh really?? did you make it on air? what's your talent?,Not Spam
also track down any lighters you can find,Not Spam
k...k:)why cant you come here and search job:),Not Spam
"hey boys. want hot xxx pics sent direct 2 ur phone? txt porn to 69855, 24hrs free and then just 50p per day. to stop text stopbcm sf wc1n3xx",Not Spam
have you not finished work yet or something?,Not Spam
hope you are having a great day.,Not Spam
now that you have started dont stop. just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Not Spam
no. did you multimedia message them or e-mail?,Not Spam
lol yes. but it will add some spice to your day.,Not Spam
ìï eatin later but i'm eatin wif my frens now lei... ìï going home first? ,Not Spam
there generally isn't one. it's an uncountable noun - u in the dictionary. pieces of research?,Not Spam
shuhui say change 2 suntec steamboat? u noe where? where r u now?,Not Spam
guess who spent all last night phasing in and out of the fourth dimension,Not Spam
"also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Not Spam
"thk shld b can... ya, i wana go 4 lessons... haha, can go for one whole stretch...",Not Spam
you please give us connection today itself before  &lt;decimal&gt;  or refund the bill,Not Spam
okay but i thought you were the expert,Not Spam
just taste fish curry :-p,Not Spam
then u ask darren go n pick u lor... but i oso sian tmr haf 2 meet lect...,Not Spam
it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.,Not Spam
"i shall book chez jules for half eight, if that's ok with you?",Not Spam
will do. was exhausted on train this morning. too much wine and pie. you sleep well too,Not Spam
cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. then he started guessing who i was wif n he finally guessed darren lor.,Not Spam
"i'll get there at 3, unless you guys want me to come some time sooner",Not Spam
pls tell nelson that the bb's are no longer comin. the money i was expecting aint coming,Not Spam
omg if its not one thing its another. my cat has worms :/ when does this bad day end?,Not Spam
reply to win å£100 weekly! what professional sport does tiger woods play? send stop to 87239 to end service,Spam
"yo, the game almost over? want to go to walmart soon",Not Spam
08714712388 between 10am-7pm cost 10p,Spam
i don't think he has spatula hands!,Not Spam
ok i will tell her to stay out. yeah its been tough but we are optimistic things will improve this month.,Not Spam
i'm at home. please call,Not Spam
wife.how she knew the time of murder exactly,Not Spam
the fact that you're cleaning shows you know why i'm upset. your priority is constantly \what i want to do,Not Spam
as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,Not Spam
oh yah... we never cancel leh... haha ,Not Spam
have got * few things to do. may be in * pub later.,Not Spam
boo what time u get out? u were supposed to take me shopping today. :(,Not Spam
please sen :)my kind advice :-)please come here and try:-),Not Spam
i know you are serving. i mean what are you doing now.,Not Spam
how would my ip address test that considering my computer isn't a minecraft server,Not Spam
he remains a bro amongst bros,Not Spam
ahhh. work. i vaguely remember that! what does it feel like? lol,Not Spam
how u doin baby girl ?? hope u are okay every time i call ure phone is off! i miss u get in touch,Not Spam
"my friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",Not Spam
got smaller capacity one? quite ex...,Not Spam
"no, i decided that only people who care about stuff vote and caring about stuff is for losers",Not Spam
u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,Not Spam
did u fix the teeth?if not do it asap.ok take care.,Not Spam
am surfing online store. for offers do you want to buy any thing.,Not Spam
"sry can't talk on phone, with parents",Not Spam
