Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Hour,Traffic Density Score,Congestion_Index,Predicted_Traffic
1900-01-01 05:30:00,10,Tuesday,88,8,6,10,112,normal,5,129.0,0.4014336917562724,Heavy
1900-01-01 05:45:00,10,Tuesday,97,27,15,8,147,normal,5,160.5,0.5268817204301075,Heavy
1900-01-01 06:00:00,10,Tuesday,107,10,24,11,152,normal,6,187.5,0.5448028673835126,Heavy
1900-01-01 06:15:00,10,Tuesday,82,26,11,5,124,normal,6,129.5,0.4444444444444444,Heavy
1900-01-01 06:30:00,10,Tuesday,93,16,24,10,143,normal,6,174.0,0.5125448028673835,Heavy
1900-01-01 06:45:00,10,Tuesday,128,18,14,6,166,normal,6,180.0,0.5949820788530465,Heavy
1900-01-01 07:00:00,10,Tuesday,110,19,12,14,155,normal,7,178.5,0.5555555555555556,Heavy
1900-01-01 07:15:00,10,Tuesday,122,13,10,5,150,normal,7,161.0,0.5376344086021505,Heavy
1900-01-01 07:30:00,10,Tuesday,92,14,16,12,134,normal,7,161.0,0.48028673835125446,Heavy
1900-01-01 07:45:00,10,Tuesday,143,30,17,12,202,heavy,7,222.0,0.7240143369175627,Heavy
1900-01-01 08:00:00,10,Tuesday,134,18,21,11,184,heavy,8,212.5,0.6594982078853047,Heavy
1900-01-01 08:15:00,10,Tuesday,134,30,15,14,193,heavy,8,214.0,0.6917562724014337,Heavy
1900-01-01 08:30:00,10,Tuesday,119,13,14,13,159,normal,8,186.0,0.5698924731182796,Heavy
1900-01-01 08:45:00,10,Tuesday,139,12,22,13,186,heavy,8,221.5,0.6666666666666666,Heavy
1900-01-01 09:00:00,10,Tuesday,73,9,14,17,113,normal,9,148.0,0.4050179211469534,Heavy
1900-01-01 09:15:00,10,Tuesday,33,12,9,6,60,low,9,72.0,0.21505376344086022,Heavy
1900-01-01 09:30:00,10,Tuesday,69,9,26,9,113,high,9,148.0,0.4050179211469534,Heavy
1900-01-01 09:45:00,10,Tuesday,69,12,10,5,96,low,9,107.5,0.34408602150537637,Heavy
1900-01-01 10:00:00,10,Tuesday,55,11,9,17,92,low,10,121.0,0.32974910394265233,Heavy
1900-01-01 10:15:00,10,Tuesday,32,7,27,12,78,normal,10,119.5,0.27956989247311825,Heavy
1900-01-01 10:30:00,10,Tuesday,53,13,7,5,78,low,10,86.0,0.27956989247311825,Heavy
1900-01-01 10:45:00,10,Tuesday,34,10,9,35,88,normal,10,144.5,0.3154121863799283,Heavy
1900-01-01 11:00:00,10,Tuesday,32,10,10,26,78,normal,11,122.0,0.27956989247311825,Heavy
1900-01-01 11:15:00,10,Tuesday,47,10,5,25,87,normal,11,124.5,0.3118279569892473,Heavy
1900-01-01 11:30:00,10,Tuesday,28,0,5,29,62,normal,11,110.5,0.2222222222222222,Heavy
1900-01-01 11:45:00,10,Tuesday,35,7,13,34,89,normal,11,149.5,0.31899641577060933,Heavy
1900-01-01 12:00:00,10,Tuesday,38,10,8,31,87,normal,12,136.5,0.3118279569892473,Heavy
1900-01-01 12:15:00,10,Tuesday,32,3,12,35,82,normal,12,145.0,0.2939068100358423,Heavy
1900-01-01 12:30:00,10,Tuesday,54,5,12,29,100,normal,12,153.0,0.35842293906810035,Heavy
1900-01-01 12:45:00,10,Tuesday,52,2,12,29,95,normal,12,149.5,0.34050179211469533,Heavy
1900-01-01 13:00:00,10,Tuesday,68,19,18,30,135,normal,13,188.5,0.4838709677419355,Heavy
1900-01-01 13:15:00,10,Tuesday,73,15,3,17,108,low,13,129.0,0.3870967741935484,Heavy
1900-01-01 13:30:00,10,Tuesday,21,18,18,23,80,normal,13,123.5,0.2867383512544803,Heavy
1900-01-01 13:45:00,10,Tuesday,63,11,16,11,101,normal,13,128.0,0.36200716845878134,Heavy
1900-01-01 14:00:00,10,Tuesday,7,17,20,18,62,normal,14,100.5,0.2222222222222222,Heavy
1900-01-01 14:15:00,10,Tuesday,76,15,32,17,140,high,14,190.0,0.5017921146953405,Heavy
1900-01-01 14:30:00,10,Tuesday,59,14,18,28,119,normal,14,172.0,0.4265232974910394,Heavy
1900-01-01 14:45:00,10,Tuesday,90,9,3,14,116,normal,14,135.5,0.4157706093189964,Heavy
1900-01-01 15:00:00,10,Tuesday,5,13,4,20,42,normal,15,69.5,0.15053763440860216,Moderate
1900-01-01 15:15:00,10,Tuesday,33,18,22,23,96,normal,15,143.5,0.34408602150537637,Heavy
1900-01-01 15:30:00,10,Tuesday,39,19,13,23,94,normal,15,132.0,0.33691756272401435,Heavy
1900-01-01 15:45:00,10,Tuesday,150,21,10,14,195,heavy,15,215.5,0.6989247311827957,Heavy
1900-01-01 16:00:00,10,Tuesday,126,27,40,19,212,heavy,16,267.0,0.7598566308243727,Heavy
1900-01-01 16:15:00,10,Tuesday,144,7,35,17,203,heavy,16,260.0,0.7275985663082437,Heavy
1900-01-01 16:30:00,10,Tuesday,145,13,12,18,188,heavy,16,220.5,0.6738351254480287,Heavy
1900-01-01 16:45:00,10,Tuesday,121,29,27,15,192,heavy,16,227.0,0.6881720430107527,Heavy
1900-01-01 17:00:00,10,Tuesday,150,21,37,19,227,heavy,17,282.0,0.8136200716845878,Heavy
1900-01-01 17:15:00,10,Tuesday,122,8,10,11,151,normal,17,173.5,0.5412186379928315,Heavy
1900-01-01 17:30:00,10,Tuesday,129,20,35,18,202,heavy,17,254.0,0.7240143369175627,Heavy
1900-01-01 17:45:00,10,Tuesday,114,7,39,19,179,heavy,17,243.0,0.6415770609318996,Heavy
1900-01-01 18:00:00,10,Tuesday,109,10,26,17,162,high,18,208.5,0.5806451612903226,Heavy
1900-01-01 18:15:00,10,Tuesday,101,22,24,18,165,normal,18,205.0,0.5913978494623656,Heavy
1900-01-01 18:30:00,10,Tuesday,91,13,8,12,124,normal,18,143.5,0.4444444444444444,Heavy
1900-01-01 18:45:00,10,Tuesday,90,17,10,11,128,normal,18,146.0,0.45878136200716846,Heavy
1900-01-01 19:00:00,10,Tuesday,107,2,15,35,159,high,19,225.5,0.5698924731182796,Heavy
1900-01-01 19:15:00,10,Tuesday,66,7,5,22,100,normal,19,134.5,0.35842293906810035,Heavy
1900-01-01 19:30:00,10,Tuesday,98,5,7,30,140,normal,19,189.5,0.5017921146953405,Heavy
1900-01-01 19:45:00,10,Tuesday,91,10,17,28,146,normal,19,200.0,0.5232974910394266,Heavy
1900-01-01 20:00:00,10,Tuesday,82,4,9,20,115,normal,20,152.0,0.4121863799283154,Heavy
1900-01-01 20:15:00,10,Tuesday,65,10,19,18,112,normal,20,153.0,0.4014336917562724,Heavy
1900-01-01 20:30:00,10,Tuesday,54,3,20,15,92,normal,20,133.0,0.32974910394265233,Heavy
1900-01-01 20:45:00,10,Tuesday,78,6,16,35,135,high,20,200.5,0.4838709677419355,Heavy
1900-01-01 21:00:00,10,Tuesday,70,20,10,33,133,high,21,182.5,0.4767025089605735,Heavy
1900-01-01 21:15:00,10,Tuesday,90,9,11,11,121,normal,21,144.0,0.4336917562724014,Heavy
1900-01-01 21:30:00,10,Tuesday,96,0,19,23,138,normal,21,191.5,0.4946236559139785,Heavy
1900-01-01 21:45:00,10,Tuesday,14,1,0,27,42,normal,21,82.0,0.15053763440860216,Moderate
1900-01-01 22:00:00,10,Tuesday,7,1,0,36,44,normal,22,97.5,0.15770609318996415,Moderate
1900-01-01 22:15:00,10,Tuesday,9,0,2,35,46,normal,22,100.5,0.16487455197132617,Moderate
1900-01-01 22:30:00,10,Tuesday,7,0,0,34,41,normal,22,92.0,0.14695340501792115,Moderate
1900-01-01 22:45:00,10,Tuesday,11,0,1,33,45,normal,22,95.5,0.16129032258064516,Moderate
1900-01-01 23:00:00,10,Tuesday,11,2,2,40,55,normal,23,116.0,0.1971326164874552,Heavy
1900-01-01 23:15:00,10,Tuesday,11,1,0,31,43,normal,23,89.0,0.15412186379928317,Moderate
1900-01-01 23:30:00,10,Tuesday,9,2,1,20,32,normal,23,62.0,0.11469534050179211,Moderate
1900-01-01 23:45:00,10,Tuesday,8,1,2,31,42,normal,23,90.0,0.15053763440860216,Moderate
1900-01-01 00:00:00,11,Wednesday,9,1,2,29,41,normal,0,86.0,0.14695340501792115,Moderate
1900-01-01 00:15:00,11,Wednesday,12,2,1,32,47,normal,0,95.0,0.16845878136200718,Moderate
1900-01-01 00:30:00,11,Wednesday,11,2,1,33,47,normal,0,96.5,0.16845878136200718,Moderate
1900-01-01 00:45:00,11,Wednesday,7,0,0,29,36,normal,0,79.5,0.12903225806451613,Moderate
1900-01-01 01:00:00,11,Wednesday,5,1,2,21,29,normal,1,62.0,0.1039426523297491,Moderate
1900-01-01 01:15:00,11,Wednesday,13,1,2,20,36,normal,1,67.5,0.12903225806451613,Moderate
1900-01-01 01:30:00,11,Wednesday,7,1,0,40,48,normal,1,107.5,0.17204301075268819,Moderate
1900-01-01 01:45:00,11,Wednesday,13,2,2,30,47,normal,1,93.0,0.16845878136200718,Moderate
1900-01-01 02:00:00,11,Wednesday,10,0,2,35,47,normal,2,101.5,0.16845878136200718,Moderate
1900-01-01 02:15:00,11,Wednesday,15,2,2,32,51,normal,2,100.0,0.1827956989247312,Heavy
1900-01-01 02:30:00,11,Wednesday,8,2,2,26,38,normal,2,78.0,0.13620071684587814,Moderate
1900-01-01 02:45:00,11,Wednesday,11,0,0,28,39,normal,2,81.0,0.13978494623655913,Moderate
1900-01-01 03:00:00,11,Wednesday,7,0,1,36,44,normal,3,99.0,0.15770609318996415,Moderate
1900-01-01 03:15:00,11,Wednesday,8,0,1,32,41,normal,3,90.0,0.14695340501792115,Moderate
1900-01-01 03:30:00,11,Wednesday,15,1,0,35,51,normal,3,103.0,0.1827956989247312,Heavy
1900-01-01 03:45:00,11,Wednesday,9,1,0,33,43,normal,3,92.0,0.15412186379928317,Moderate
1900-01-01 04:00:00,11,Wednesday,72,7,2,14,95,low,4,114.5,0.34050179211469533,Heavy
1900-01-01 04:15:00,11,Wednesday,64,7,7,20,98,normal,4,131.5,0.35125448028673834,Heavy
1900-01-01 04:30:00,11,Wednesday,85,8,5,14,112,normal,4,134.0,0.4014336917562724,Heavy
1900-01-01 04:45:00,11,Wednesday,73,6,6,15,100,low,4,125.5,0.35842293906810035,Heavy
1900-01-01 05:00:00,11,Wednesday,57,0,0,15,72,low,5,94.5,0.25806451612903225,Heavy
1900-01-01 05:15:00,11,Wednesday,81,4,4,24,113,normal,5,151.0,0.4050179211469534,Heavy
1900-01-01 05:30:00,11,Wednesday,54,6,3,18,81,low,5,108.0,0.2903225806451613,Heavy
1900-01-01 05:45:00,11,Wednesday,97,22,23,12,154,normal,5,184.0,0.5519713261648745,Heavy
1900-01-01 06:00:00,11,Wednesday,109,10,14,13,146,normal,6,174.5,0.5232974910394266,Heavy
1900-01-01 06:15:00,11,Wednesday,102,23,23,11,159,normal,6,187.0,0.5698924731182796,Heavy
1900-01-01 06:30:00,11,Wednesday,135,13,18,6,172,heavy,6,192.5,0.6164874551971327,Heavy
1900-01-01 06:45:00,11,Wednesday,105,12,13,9,139,normal,6,159.5,0.4982078853046595,Heavy
1900-01-01 07:00:00,11,Wednesday,90,17,19,8,134,normal,7,156.5,0.48028673835125446,Heavy
1900-01-01 07:15:00,11,Wednesday,104,14,19,7,144,normal,7,166.5,0.5161290322580645,Heavy
1900-01-01 07:30:00,11,Wednesday,134,20,24,8,186,heavy,7,212.0,0.6666666666666666,Heavy
1900-01-01 07:45:00,11,Wednesday,120,26,17,8,171,heavy,7,187.0,0.6129032258064516,Heavy
1900-01-01 08:00:00,11,Wednesday,142,19,16,5,182,heavy,8,196.0,0.6523297491039427,Heavy
1900-01-01 08:15:00,11,Wednesday,121,28,20,15,184,heavy,8,212.5,0.6594982078853047,Heavy
1900-01-01 08:30:00,11,Wednesday,85,26,17,9,137,normal,8,154.5,0.4910394265232975,Heavy
1900-01-01 08:45:00,11,Wednesday,140,15,14,12,181,heavy,8,205.5,0.6487455197132617,Heavy
1900-01-01 09:00:00,11,Wednesday,68,12,29,12,121,high,9,162.0,0.4336917562724014,Heavy
1900-01-01 09:15:00,11,Wednesday,56,7,14,15,92,low,9,125.0,0.32974910394265233,Heavy
1900-01-01 09:30:00,11,Wednesday,33,14,12,19,78,normal,9,111.5,0.27956989247311825,Heavy
1900-01-01 09:45:00,11,Wednesday,61,9,18,6,94,normal,9,116.5,0.33691756272401435,Heavy
1900-01-01 10:00:00,11,Wednesday,36,10,24,14,84,normal,10,124.0,0.3010752688172043,Heavy
1900-01-01 10:15:00,11,Wednesday,57,13,22,19,111,normal,10,155.0,0.3978494623655914,Heavy
1900-01-01 10:30:00,11,Wednesday,64,9,20,19,112,normal,10,156.0,0.4014336917562724,Heavy
1900-01-01 10:45:00,11,Wednesday,30,7,1,31,69,normal,10,113.0,0.24731182795698925,Heavy
1900-01-01 11:00:00,11,Wednesday,54,10,10,28,102,normal,11,149.0,0.3655913978494624,Heavy
1900-01-01 11:15:00,11,Wednesday,28,5,12,29,74,normal,11,127.0,0.26523297491039427,Heavy
1900-01-01 11:30:00,11,Wednesday,50,2,4,30,86,normal,11,134.0,0.30824372759856633,Heavy
1900-01-01 11:45:00,11,Wednesday,60,4,3,26,93,normal,11,133.0,0.3333333333333333,Heavy
1900-01-01 12:00:00,11,Wednesday,39,4,4,30,77,normal,12,124.0,0.27598566308243727,Heavy
1900-01-01 12:15:00,11,Wednesday,32,1,12,27,72,normal,12,124.0,0.25806451612903225,Heavy
1900-01-01 12:30:00,11,Wednesday,59,3,12,28,102,normal,12,154.5,0.3655913978494624,Heavy
1900-01-01 12:45:00,11,Wednesday,64,9,9,25,107,normal,12,149.0,0.3835125448028674,Heavy
1900-01-01 13:00:00,11,Wednesday,52,17,17,21,107,normal,13,147.0,0.3835125448028674,Heavy
1900-01-01 13:15:00,11,Wednesday,96,14,3,22,135,normal,13,164.0,0.4838709677419355,Heavy
1900-01-01 13:30:00,11,Wednesday,61,8,21,24,114,normal,13,167.0,0.40860215053763443,Heavy
1900-01-01 13:45:00,11,Wednesday,100,7,11,22,140,normal,13,180.5,0.5017921146953405,Heavy
1900-01-01 14:00:00,11,Wednesday,6,8,32,24,70,normal,14,134.0,0.25089605734767023,Heavy
1900-01-01 14:15:00,11,Wednesday,88,14,32,26,160,high,14,224.0,0.5734767025089605,Heavy
1900-01-01 14:30:00,11,Wednesday,27,14,15,23,79,normal,14,121.5,0.2831541218637993,Heavy
1900-01-01 14:45:00,11,Wednesday,22,15,21,10,68,normal,14,96.5,0.24372759856630824,Heavy
1900-01-01 15:00:00,11,Wednesday,53,5,17,21,96,normal,15,142.0,0.34408602150537637,Heavy
1900-01-01 15:15:00,11,Wednesday,61,11,27,22,121,high,15,175.5,0.4336917562724014,Heavy
1900-01-01 15:30:00,11,Wednesday,74,13,5,26,118,normal,15,155.5,0.4229390681003584,Heavy
1900-01-01 15:45:00,11,Wednesday,121,7,16,20,164,normal,15,206.5,0.5878136200716846,Heavy
1900-01-01 16:00:00,11,Wednesday,110,9,37,13,169,heavy,16,221.0,0.6057347670250897,Heavy
1900-01-01 16:15:00,11,Wednesday,116,12,39,12,179,heavy,16,230.0,0.6415770609318996,Heavy
1900-01-01 16:30:00,11,Wednesday,100,27,39,13,179,heavy,16,224.0,0.6415770609318996,Heavy
1900-01-01 16:45:00,11,Wednesday,118,11,28,11,168,heavy,16,207.0,0.6021505376344086,Heavy
1900-01-01 17:00:00,11,Wednesday,137,14,13,13,177,heavy,17,202.5,0.6344086021505376,Heavy
1900-01-01 17:15:00,11,Wednesday,130,23,14,18,185,heavy,17,214.5,0.6630824372759857,Heavy
1900-01-01 17:30:00,11,Wednesday,146,13,10,18,187,heavy,17,217.5,0.6702508960573477,Heavy
1900-01-01 17:45:00,11,Wednesday,114,23,19,11,167,normal,17,191.0,0.5985663082437276,Heavy
1900-01-01 18:00:00,11,Wednesday,104,18,15,15,152,normal,18,180.5,0.5448028673835126,Heavy
1900-01-01 18:15:00,11,Wednesday,114,24,31,10,179,heavy,18,213.0,0.6415770609318996,Heavy
1900-01-01 18:30:00,11,Wednesday,90,0,18,11,119,normal,18,153.5,0.4265232974910394,Heavy
1900-01-01 18:45:00,11,Wednesday,95,2,9,15,121,normal,18,151.5,0.4336917562724014,Heavy
1900-01-01 19:00:00,11,Wednesday,60,4,7,28,99,normal,19,146.0,0.3548387096774194,Heavy
1900-01-01 19:15:00,11,Wednesday,72,1,9,32,114,high,19,170.5,0.40860215053763443,Heavy
1900-01-01 19:30:00,11,Wednesday,92,20,11,31,154,high,19,201.5,0.5519713261648745,Heavy
1900-01-01 19:45:00,11,Wednesday,70,18,9,23,120,normal,19,154.5,0.43010752688172044,Heavy
1900-01-01 20:00:00,11,Wednesday,97,8,17,10,132,normal,20,160.0,0.4731182795698925,Heavy
1900-01-01 20:15:00,11,Wednesday,72,11,5,24,112,normal,20,147.5,0.4014336917562724,Heavy
1900-01-01 20:30:00,11,Wednesday,60,12,20,28,120,normal,20,176.0,0.43010752688172044,Heavy
1900-01-01 20:45:00,11,Wednesday,62,7,7,13,89,low,20,112.0,0.31899641577060933,Heavy
1900-01-01 21:00:00,11,Wednesday,79,19,13,17,128,normal,21,157.0,0.45878136200716846,Heavy
1900-01-01 21:15:00,11,Wednesday,92,9,15,19,135,normal,21,174.0,0.4838709677419355,Heavy
1900-01-01 21:30:00,11,Wednesday,62,1,5,10,78,low,21,97.5,0.27956989247311825,Heavy
1900-01-01 21:45:00,11,Wednesday,13,0,1,39,53,normal,21,112.5,0.18996415770609318,Heavy
1900-01-01 22:00:00,11,Wednesday,15,2,1,24,42,normal,22,78.0,0.15053763440860216,Moderate
1900-01-01 22:15:00,11,Wednesday,12,2,2,22,38,normal,22,72.0,0.13620071684587814,Moderate
1900-01-01 22:30:00,11,Wednesday,5,0,0,36,41,normal,22,95.0,0.14695340501792115,Moderate
1900-01-01 22:45:00,11,Wednesday,11,1,2,26,40,normal,22,80.5,0.14336917562724014,Moderate
1900-01-01 23:00:00,11,Wednesday,6,1,2,28,37,normal,23,80.5,0.13261648745519714,Moderate
1900-01-01 23:15:00,11,Wednesday,6,0,1,27,34,normal,23,75.5,0.12186379928315412,Moderate
1900-01-01 23:30:00,11,Wednesday,10,0,2,33,45,normal,23,96.5,0.16129032258064516,Moderate
1900-01-01 23:45:00,11,Wednesday,5,0,1,27,33,normal,23,74.5,0.11827956989247312,Moderate
1900-01-01 00:00:00,12,Thursday,6,1,2,37,46,normal,0,103.0,0.16487455197132617,Moderate
1900-01-01 00:15:00,12,Thursday,5,2,1,36,44,normal,0,98.0,0.15770609318996415,Moderate
1900-01-01 00:30:00,12,Thursday,6,1,0,26,33,normal,0,71.5,0.11827956989247312,Moderate
1900-01-01 00:45:00,12,Thursday,9,2,0,21,32,normal,0,62.5,0.11469534050179211,Moderate
1900-01-01 01:00:00,12,Thursday,11,2,2,35,50,normal,1,103.5,0.17921146953405018,Heavy
1900-01-01 01:15:00,12,Thursday,8,2,0,34,44,normal,1,94.0,0.15770609318996415,Moderate
1900-01-01 01:30:00,12,Thursday,14,2,0,35,51,normal,1,102.5,0.1827956989247312,Heavy
1900-01-01 01:45:00,12,Thursday,8,0,0,36,44,normal,1,98.0,0.15770609318996415,Moderate
1900-01-01 02:00:00,12,Thursday,10,1,0,21,32,normal,2,63.0,0.11469534050179211,Moderate
1900-01-01 02:15:00,12,Thursday,14,0,1,35,50,normal,2,103.5,0.17921146953405018,Heavy
1900-01-01 02:30:00,12,Thursday,8,1,0,21,30,normal,2,61.0,0.10752688172043011,Moderate
1900-01-01 02:45:00,12,Thursday,12,2,1,37,52,normal,2,107.5,0.1863799283154122,Heavy
1900-01-01 03:00:00,12,Thursday,15,2,1,30,48,normal,3,93.0,0.17204301075268819,Moderate
1900-01-01 03:15:00,12,Thursday,12,2,1,33,48,normal,3,97.5,0.17204301075268819,Moderate
1900-01-01 03:30:00,12,Thursday,8,0,2,38,48,normal,3,107.0,0.17204301075268819,Moderate
1900-01-01 03:45:00,12,Thursday,10,1,2,39,52,normal,3,112.0,0.1863799283154122,Heavy
1900-01-01 04:00:00,12,Thursday,90,5,0,28,123,normal,4,162.5,0.44086021505376344,Heavy
1900-01-01 04:15:00,12,Thursday,57,9,0,15,81,low,4,99.0,0.2903225806451613,Heavy
1900-01-01 04:30:00,12,Thursday,61,5,0,11,77,low,4,91.0,0.27598566308243727,Heavy
1900-01-01 04:45:00,12,Thursday,84,10,6,16,116,normal,4,141.0,0.4157706093189964,Heavy
1900-01-01 05:00:00,12,Thursday,59,8,5,18,90,low,5,118.0,0.3225806451612903,Heavy
1900-01-01 05:15:00,12,Thursday,64,5,3,27,99,normal,5,140.0,0.3548387096774194,Heavy
1900-01-01 05:30:00,12,Thursday,72,3,5,10,90,low,5,108.5,0.3225806451612903,Heavy
1900-01-01 05:45:00,12,Thursday,102,12,14,7,135,normal,5,153.5,0.4838709677419355,Heavy
1900-01-01 06:00:00,12,Thursday,132,16,23,9,180,heavy,6,208.5,0.6451612903225806,Heavy
1900-01-01 06:15:00,12,Thursday,114,11,25,7,157,normal,6,187.0,0.5627240143369175,Heavy
1900-01-01 06:30:00,12,Thursday,117,18,22,12,169,heavy,6,200.0,0.6057347670250897,Heavy
1900-01-01 06:45:00,12,Thursday,149,15,10,15,189,heavy,6,214.0,0.6774193548387096,Heavy
1900-01-01 07:00:00,12,Thursday,103,29,12,6,150,normal,7,156.5,0.5376344086021505,Heavy
1900-01-01 07:15:00,12,Thursday,81,30,16,5,132,normal,7,140.5,0.4731182795698925,Heavy
1900-01-01 07:30:00,12,Thursday,140,14,12,12,178,heavy,7,201.0,0.6379928315412187,Heavy
1900-01-01 07:45:00,12,Thursday,88,25,23,5,141,normal,7,159.0,0.5053763440860215,Heavy
1900-01-01 08:00:00,12,Thursday,146,17,20,6,189,heavy,8,209.5,0.6774193548387096,Heavy
1900-01-01 08:15:00,12,Thursday,148,16,25,6,195,heavy,8,221.0,0.6989247311827957,Heavy
1900-01-01 08:30:00,12,Thursday,125,21,22,11,179,heavy,8,207.0,0.6415770609318996,Heavy
1900-01-01 08:45:00,12,Thursday,88,30,23,5,146,normal,8,161.5,0.5232974910394266,Heavy
1900-01-01 09:00:00,12,Thursday,67,14,24,19,124,normal,9,169.5,0.4444444444444444,Heavy
1900-01-01 09:15:00,12,Thursday,56,12,30,16,114,high,9,162.0,0.40860215053763443,Heavy
1900-01-01 09:30:00,12,Thursday,75,9,15,19,118,normal,9,157.0,0.4229390681003584,Heavy
1900-01-01 09:45:00,12,Thursday,52,8,5,12,77,low,9,96.0,0.27598566308243727,Heavy
1900-01-01 10:00:00,12,Thursday,40,9,25,12,86,normal,10,124.5,0.30824372759856633,Heavy
1900-01-01 10:15:00,12,Thursday,46,7,30,13,96,normal,10,142.0,0.34408602150537637,Heavy
1900-01-01 10:30:00,12,Thursday,76,6,8,14,104,low,10,130.0,0.3727598566308244,Heavy
1900-01-01 10:45:00,12,Thursday,62,6,6,25,99,normal,10,139.5,0.3548387096774194,Heavy
1900-01-01 11:00:00,12,Thursday,63,8,9,27,107,normal,11,152.5,0.3835125448028674,Heavy
1900-01-01 11:15:00,12,Thursday,39,2,12,25,78,normal,11,126.5,0.27956989247311825,Heavy
1900-01-01 11:30:00,12,Thursday,55,7,4,35,101,normal,11,154.0,0.36200716845878134,Heavy
1900-01-01 11:45:00,12,Thursday,64,9,8,34,115,high,11,169.5,0.4121863799283154,Heavy
1900-01-01 12:00:00,12,Thursday,56,1,5,27,89,normal,12,134.0,0.31899641577060933,Heavy
1900-01-01 12:15:00,12,Thursday,43,3,4,35,85,normal,12,140.0,0.3046594982078853,Heavy
1900-01-01 12:30:00,12,Thursday,52,0,3,30,85,normal,12,133.0,0.3046594982078853,Heavy
1900-01-01 12:45:00,12,Thursday,25,7,4,33,69,normal,12,119.0,0.24731182795698925,Heavy
1900-01-01 13:00:00,12,Thursday,47,13,0,18,78,low,13,98.5,0.27956989247311825,Heavy
1900-01-01 13:15:00,12,Thursday,26,16,31,26,99,normal,13,161.0,0.3548387096774194,Heavy
1900-01-01 13:30:00,12,Thursday,86,3,9,30,128,normal,13,180.5,0.45878136200716846,Heavy
1900-01-01 13:45:00,12,Thursday,46,6,21,11,84,normal,13,118.5,0.3010752688172043,Heavy
1900-01-01 14:00:00,12,Thursday,66,13,3,26,108,normal,14,143.5,0.3870967741935484,Heavy
1900-01-01 14:15:00,12,Thursday,89,19,21,18,147,normal,14,185.5,0.5268817204301075,Heavy
1900-01-01 14:30:00,12,Thursday,88,1,10,21,120,normal,14,161.0,0.43010752688172044,Heavy
1900-01-01 14:45:00,12,Thursday,88,8,8,24,128,normal,14,168.0,0.45878136200716846,Heavy
1900-01-01 15:00:00,12,Thursday,96,20,28,14,158,high,15,197.0,0.5663082437275986,Heavy
1900-01-01 15:15:00,12,Thursday,70,1,20,16,107,normal,15,150.5,0.3835125448028674,Heavy
1900-01-01 15:30:00,12,Thursday,79,3,14,22,118,normal,15,163.5,0.4229390681003584,Heavy
1900-01-01 15:45:00,12,Thursday,133,6,21,15,175,heavy,15,215.5,0.6272401433691757,Heavy
1900-01-01 16:00:00,12,Thursday,128,11,38,14,191,heavy,16,244.5,0.6845878136200717,Heavy
