question,context,predicted_answer,confidence_score
What individuals live at Fatima House at Notre Dame?,"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome). Its main seminary, Moreau Seminary, is located on the campus across St. Jo",Retired priests and brothers,0.8894283175468445
Which prize did Frederick Buechner create?,"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome). Its main seminary, Moreau Seminary, is located on the campus across St. Jo",Buechner Prize for Preaching,0.7424730062484741
How many BS level degrees are offered in the College of Engineering at Notre Dame?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s. Today the college, housed in the F",eight,0.8977767825126648
In what year was the College of Engineering at Notre Dame formed?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s. Today the college, housed in the F",1920,0.9955720901489258
Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s. Today the college, housed in the F",College of Science,0.7175670266151428
How many departments are within the Stinson-Remick Hall of Engineering?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s. Today the college, housed in the F",five,0.889242947101593
The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s. Today the college, housed in the F",1870s,0.6618539690971375
What entity provides help with the management of time for new students at Notre Dame?,All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program. The First Year of Studies program was establi,Learning Resource Center,0.9242603778839111
How many colleges for undergraduates are at Notre Dame?,All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program. The First Year of Studies program was establi,five,0.9406412243843079
What was created at Notre Dame in 1962 to assist first year students?,All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program. The First Year of Studies program was establi,The First Year of Studies program,0.5397306084632874
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program. The First Year of Studies program was establi,U.S. News & World Report,0.9258080720901489
The granting of Doctorate degrees first occurred in what year at Notre Dame?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineer",1924,0.9941394329071045
What type of degree is an M.Div.?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineer",Master of Divinity,0.9865176677703857
Which program at Notre Dame offers a Master of Education degree?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineer",Alliance for Catholic Education,0.46349868178367615
In what year was a Master of Arts course first offered at Notre Dame?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineer",1854–1855,0.6644537448883057
Which department at Notre Dame is the only one to not offer a PhD program?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year. The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineer",Department of Pre-Professional Studies,0.7886530756950378
What institute at Notre Dame studies  the reasons for violent conflict?,"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sus",Joan B. Kroc Institute for International Peace Studies,0.6074832081794739
